game_id,frame_id,is_occluded,split,board_correct,x_squares,wrong_squares,num_square_errors,repair_applied,repair_log
game2_per_frame,588,False,test,True,,,0,False,
game2_per_frame,856,True,test,False,"f8,h8,h7,c1,d1,e1",b1,1,False,
game2_per_frame,936,False,test,True,,,0,False,
game2_per_frame,1280,False,test,True,,,0,False,
game2_per_frame,1300,False,test,True,,,0,False,
game2_per_frame,1740,False,test,True,,,0,False,
game2_per_frame,1916,False,test,True,,,0,False,
game2_per_frame,3416,False,test,True,,,0,False,
game2_per_frame,4264,False,test,True,,,0,False,
game2_per_frame,8952,False,test,True,,,0,False,
game2_per_frame,9884,False,test,True,,,0,False,
game2_per_frame,10096,False,test,True,,,0,False,
game2_per_frame,11140,False,test,False,,d5,1,False,
game2_per_frame,11760,False,test,True,,,0,False,
game2_per_frame,12092,False,test,True,,,0,False,
game2_per_frame,12864,False,test,True,,,0,False,
game2_per_frame,13616,True,test,True,g8,,0,False,
game2_per_frame,14208,False,test,True,,,0,False,
game2_per_frame,19936,False,test,True,,,0,False,
game2_per_frame,19976,True,test,False,"d2,f1,g1",c1,1,False,
game2_per_frame,20008,True,test,False,"h8,g7,h6,b4,c4,d4,d3,e3,f3,g2","c6,f2,h2",3,False,
game2_per_frame,20024,True,test,True,"d8,d6",,0,False,
game2_per_frame,31120,True,test,False,"h8,c3,d2,e2,f1",e3,1,True,f1: k → X (p=0.869)
game4_per_frame,576,True,test,True,h2,,0,False,
game4_per_frame,588,True,test,True,"e8,f8,g7,h7,h6,e1,f1",,0,False,
game4_per_frame,616,True,test,False,"e8,f8,g8,f7,g7,h7,g1",f1,1,True,h7: r → X (p=0.962)
game4_per_frame,640,True,test,True,"f8,g8,g7,h7,f2,g2,f1,g1",,0,False,
game4_per_frame,748,True,test,False,"d8,e8,e7,g7,b3,c2,c1","f7,d1",2,False,
game4_per_frame,820,False,test,True,,,0,False,
game4_per_frame,876,True,test,True,"g8,h8,f1",,0,False,
game4_per_frame,7992,False,test,True,,,0,False,
game4_per_frame,10588,False,test,True,,,0,False,
game4_per_frame,12284,False,test,True,h8,,0,False,
game4_per_frame,12844,True,test,False,g1,f2,1,True,g1: R → X (p=0.953)
game4_per_frame,13192,False,test,True,,,0,False,
game4_per_frame,13316,False,test,True,,,0,False,
